Identificação do projeto e da equipe		
Preencha antes de começar as demais abas.		
		
Campo	Resposta da equipe	Observação / o que se espera
Nome do projeto	Foco no incêndio DF	Como o projeto é chamado.
Equipe (nomes completos)	Cláudio H., Elias F., Gabriel F., Gabriel S., João V., Manoel F., Samuel R.	Todos os integrantes.
Disciplina / turma / semestre	Sistema de Bancos de Dados 2 - T03 - 2026.2	
Em uma frase, o que o sistema faz	Apresenta pontos principais de focos de incêndio de maneira simplista e objetiva	Sem jargão. Uma frase.
Problema que ele resolve	Descoberta de focos de corredores de vegetação passível de interligar áreas que podem iniciar focos de incêndio	
Quem usa o sistema	Orgãos responsáveis pelo controle de focos de incêndio no DF, como o Corpo de Bombeiros Militar do DF	Os atores principais.
Repositório / link do projeto	https://github.com/BeyondMagic/UnB-QueimadaFlora	
Data de preenchimento	02/09/2026	
Versão deste documento	0.01	Atualize a cada revisão.
